table,fields...
employees,Alice,Smith,101,,alice.smith@company.com,2022-01-10,manager
recognitions,3,5,12,2023-04-05T18:30:00Z,Recognition from 12 to 5,20,REJECTED
recognitions,1,5,13,2023-04-06T18:30:00Z,Recognition from 13 to 5,0,APPROVED
recognitions,2,5,14,2023-04-07T18:30:00Z,Recognition from 14 to 5,10,PENDING
recognitions,3,5,15,2023-04-08T18:30:00Z,Recognition from 15 to 5,20,REJECTED
recognitions,1,5,16,2023-04-09T18:30:00Z,Recognition from 16 to 5,0,APPROVED
recognitions,2,5,17,2023-04-10T18:30:00Z,Recognition from 17 to 5,5,PENDING
recognitions,3,5,18,2023-04-11T18:30:00Z,Recognition from 18 to 5,25,REJECTED
recognitions,1,5,19,2023-04-12T18:30:00Z,Recognition from 19 to 5,0,APPROVED
recognitions,2,5,20,2023-04-13T18:30:00Z,Recognition from 20 to 5,10,PENDING
recognitions,3,5,21,2023-04-14T18:30:00Z,Recognition from 21 to 5,30,REJECTED
recognitions,1,5,22,2023-04-15T18:30:00Z,Recognition from 22 to 5,0,APPROVED
recognitions,2,6,1,2023-04-16T18:30:00Z,Recognition from 1 to 6,5,PENDING
recognitions,3,6,2,2023-04-17T18:30:00Z,Recognition from 2 to 6,20,REJECTED
recognitions,1,6,3,2023-04-18T18:30:00Z,Recognition from 3 to 6,0,APPROVED
recognitions,2,6,4,2023-04-19T18:30:00Z,Recognition from 4 to 6,10,PENDING
recognitions,3,6,5,2023-04-20T18:30:00Z,Recognition from 5 to 6,20,REJECTED
recognitions,1,6,7,2023-04-21T18:30:00Z,Recognition from 7 to 6,0,APPROVED
recognitions,2,6,8,2023-04-22T18:30:00Z,Recognition from 8 to 6,5,PENDING
recognitions,3,6,9,2023-04-23T18:30:00Z,Recognition from 9 to 6,25,REJECTED
recognitions,1,6,10,2023-04-24T18:30:00Z,Recognition from 10 to 6,0,APPROVED
recognitions,2,6,11,2023-04-25T18:30:00Z,Recognition from 11 to 6,10,PENDING
recognitions,3,6,12,2023-04-26T18:30:00Z,Recognition from 12 to 6,30,REJECTED
recognitions,1,6,13,2023-04-27T18:30:00Z,Recognition from 13 to 6,0,APPROVED
recognitions,2,6,14,2023-04-28T18:30:00Z,Recognition from 14 to 6,5,PENDING
recognitions,3,6,15,2023-04-29T18:30:00Z,Recognition from 15 to 6,20,REJECTED
recognitions,1,6,16,2023-04-30T18:30:00Z,Recognition from 16 to 6,0,APPROVED
recognitions,2,6,17,2023-05-01T18:30:00Z,Recognition from 17 to 6,10,PENDING
recognitions,3,6,18,2023-05-02T18:30:00Z,Recognition from 18 to 6,20,REJECTED
recognitions,1,6,19,2023-05-03T18:30:00Z,Recognition from 19 to 6,0,APPROVED
recognitions,2,6,20,2023-05-04T18:30:00Z,Recognition from 20 to 6,5,PENDING
recognitions,3,6,21,2023-05-05T18:30:00Z,Recognition from 21 to 6,25,REJECTED
recognitions,1,6,22,2023-05-06T18:30:00Z,Recognition from 22 to 6,0,APPROVED
recognitions,2,7,1,2023-05-07T18:30:00Z,Recognition from 1 to 7,10,PENDING
recognitions,3,7,2,2023-05-08T18:30:00Z,Recognition from 2 to 7,30,REJECTED
recognitions,1,7,3,2023-05-09T18:30:00Z,Recognition from 3 to 7,0,APPROVED
recognitions,2,7,4,2023-05-10T18:30:00Z,Recognition from 4 to 7,5,PENDING
recognitions,3,7,5,2023-05-11T18:30:00Z,Recognition from 5 to 7,20,REJECTED
recognitions,1,7,6,2023-05-12T18:30:00Z,Recognition from 6 to 7,0,APPROVED
recognitions,2,7,8,2023-05-13T18:30:00Z,Recognition from 8 to 7,10,PENDING
recognitions,3,7,9,2023-05-14T18:30:00Z,Recognition from 9 to 7,20,REJECTED
recognitions,1,7,10,2023-05-15T18:30:00Z,Recognition from 10 to 7,0,APPROVED
recognitions,2,7,11,2023-05-16T18:30:00Z,Recognition from 11 to 7,5,PENDING
recognitions,3,7,12,2023-05-17T18:30:00Z,Recognition from 12 to 7,25,REJECTED
recognitions,1,7,13,2023-05-18T18:30:00Z,Recognition from 13 to 7,0,APPROVED
recognitions,2,7,14,2023-05-19T18:30:00Z,Recognition from 14 to 7,10,PENDING
recognitions,3,7,15,2023-05-20T18:30:00Z,Recognition from 15 to 7,30,REJECTED
recognitions,1,7,16,2023-05-21T18:30:00Z,Recognition from 16 to 7,0,APPROVED
recognitions,2,7,17,2023-05-22T18:30:00Z,Recognition from 17 to 7,5,PENDING
recognitions,3,7,18,2023-05-23T18:30:00Z,Recognition from 18 to 7,20,REJECTED
recognitions,1,7,19,2023-05-24T18:30:00Z,Recognition from 19 to 7,0,APPROVED
recognitions,2,7,20,2023-05-25T18:30:00Z,Recognition from 20 to 7,10,PENDING
recognitions,3,7,21,2023-05-26T18:30:00Z,Recognition from 21 to 7,20,REJECTED
recognitions,1,7,22,2023-05-27T18:30:00Z,Recognition from 22 to 7,0,APPROVED
recognitions,2,8,1,2023-05-28T18:30:00Z,Recognition from 1 to 8,5,PENDING
recognitions,3,8,2,2023-05-29T18:30:00Z,Recognition from 2 to 8,25,REJECTED
recognitions,1,8,3,2023-05-30T18:30:00Z,Recognition from 3 to 8,0,APPROVED
recognitions,2,8,4,2023-05-31T18:30:00Z,Recognition from 4 to 8,10,PENDING
recognitions,3,8,5,2023-06-01T18:30:00Z,Recognition from 5 to 8,30,REJECTED
recognitions,1,8,6,2023-06-02T18:30:00Z,Recognition from 6 to 8,0,APPROVED
recognitions,2,8,7,2023-06-03T18:30:00Z,Recognition from 7 to 8,5,PENDING
recognitions,3,8,9,2023-06-04T18:30:00Z,Recognition from 9 to 8,20,REJECTED
recognitions,1,8,10,2023-06-05T18:30:00Z,Recognition from 10 to 8,0,APPROVED
recognitions,2,8,11,2023-06-06T18:30:00Z,Recognition from 11 to 8,10,PENDING
recognitions,3,8,12,2023-06-07T18:30:00Z,Recognition from 12 to 8,20,REJECTED
recognitions,1,8,13,2023-06-08T18:30:00Z,Recognition from 13 to 8,0,APPROVED
recognitions,2,8,14,2023-06-09T18:30:00Z,Recognition from 14 to 8,5,PENDING
recognitions,3,8,15,2023-06-10T18:30:00Z,Recognition from 15 to 8,25,REJECTED
recognitions,1,8,16,2023-06-11T18:30:00Z,Recognition from 16 to 8,0,APPROVED
recognitions,2,8,17,2023-06-12T18:30:00Z,Recognition from 17 to 8,10,PENDING
recognitions,3,8,18,2023-06-13T18:30:00Z,Recognition from 18 to 8,30,REJECTED
recognitions,1,8,19,2023-06-14T18:30:00Z,Recognition from 19 to 8,0,APPROVED
recognitions,2,8,20,2023-06-15T18:30:00Z,Recognition from 20 to 8,5,PENDING
recognitions,3,8,21,2023-06-16T18:30:00Z,Recognition from 21 to 8,20,REJECTED
recognitions,1,8,22,2023-06-17T18:30:00Z,Recognition from 22 to 8,0,APPROVED
recognitions,2,9,1,2023-06-18T18:30:00Z,Recognition from 1 to 9,10,PENDING
recognitions,3,9,2,2023-06-19T18:30:00Z,Recognition from 2 to 9,20,REJECTED
recognitions,1,9,3,2023-06-20T18:30:00Z,Recognition from 3 to 9,0,APPROVED
recognitions,2,9,4,2023-06-21T18:30:00Z,Recognition from 4 to 9,5,PENDING
recognitions,3,9,5,2023-06-22T18:30:00Z,Recognition from 5 to 9,25,REJECTED
recognitions,1,9,6,2023-06-23T18:30:00Z,Recognition from 6 to 9,0,APPROVED
recognitions,2,9,7,2023-06-24T18:30:00Z,Recognition from 7 to 9,10,PENDING
recognitions,3,9,8,2023-06-25T18:30:00Z,Recognition from 8 to 9,30,REJECTED
recognitions,1,9,10,2023-06-26T18:30:00Z,Recognition from 10 to 9,0,APPROVED
recognitions,2,9,11,2023-06-27T18:30:00Z,Recognition from 11 to 9,5,PENDING
recognitions,3,9,12,2023-06-28T18:30:00Z,Recognition from 12 to 9,20,REJECTED
recognitions,1,9,13,2023-06-29T18:30:00Z,Recognition from 13 to 9,0,APPROVED
recognitions,2,9,14,2023-06-30T18:30:00Z,Recognition from 14 to 9,10,PENDING
recognitions,3,9,15,2023-07-01T18:30:00Z,Recognition from 15 to 9,20,REJECTED
recognitions,1,9,16,2023-07-02T18:30:00Z,Recognition from 16 to 9,0,APPROVED
recognitions,2,9,17,2023-07-03T18:30:00Z,Recognition from 17 to 9,5,PENDING
recognitions,3,9,18,2023-07-04T18:30:00Z,Recognition from 18 to 9,25,REJECTED
recognitions,1,9,19,2023-07-05T18:30:00Z,Recognition from 19 to 9,0,APPROVED
recognitions,2,9,20,2023-07-06T18:30:00Z,Recognition from 20 to 9,10,PENDING
recognitions,3,9,21,2023-07-07T18:30:00Z,Recognition from 21 to 9,30,REJECTED
recognitions,1,9,22,2023-07-08T18:30:00Z,Recognition from 22 to 9,0,APPROVED
recognitions,2,10,1,2023-07-09T18:30:00Z,Recognition from 1 to 10,5,PENDING
recognitions,3,10,2,2023-07-10T18:30:00Z,Recognition from 2 to 10,20,REJECTED
recognitions,1,10,3,2023-07-11T18:30:00Z,Recognition from 3 to 10,0,APPROVED
recognitions,2,10,4,2023-07-12T18:30:00Z,Recognition from 4 to 10,10,PENDING
recognitions,3,10,5,2023-07-13T18:30:00Z,Recognition from 5 to 10,20,REJECTED
recognitions,1,10,6,2023-07-14T18:30:00Z,Recognition from 6 to 10,0,APPROVED
recognitions,2,10,7,2023-07-15T18:30:00Z,Recognition from 7 to 10,5,PENDING
recognitions,3,10,8,2023-07-16T18:30:00Z,Recognition from 8 to 10,25,REJECTED
recognitions,1,10,9,2023-07-17T18:30:00Z,Recognition from 9 to 10,0,APPROVED
recognitions,2,10,11,2023-07-18T18:30:00Z,Recognition from 11 to 10,10,PENDING
recognitions,3,10,12,2023-07-19T18:30:00Z,Recognition from 12 to 10,30,REJECTED
recognitions,1,10,13,2023-07-20T18:30:00Z,Recognition from 13 to 10,0,APPROVED
recognitions,2,10,14,2023-07-21T18:30:00Z,Recognition from 14 to 10,5,PENDING
recognitions,3,10,15,2023-07-22T18:30:00Z,Recognition from 15 to 10,20,REJECTED
recognitions,1,10,16,2023-07-23T18:30:00Z,Recognition from 16 to 10,0,APPROVED
recognitions,2,10,17,2023-07-24T18:30:00Z,Recognition from 17 to 10,10,PENDING
recognitions,3,10,18,2023-07-25T18:30:00Z,Recognition from 18 to 10,20,REJECTED
recognitions,1,10,19,2023-07-26T18:30:00Z,Recognition from 19 to 10,0,APPROVED
recognitions,2,10,20,2023-07-27T18:30:00Z,Recognition from 20 to 10,5,PENDING
recognitions,3,10,21,2023-07-28T18:30:00Z,Recognition from 21 to 10,25,REJECTED
recognitions,1,10,22,2023-07-29T18:30:00Z,Recognition from 22 to 10,0,APPROVED
recognitions,2,11,1,2023-07-30T18:30:00Z,Recognition from 1 to 11,10,PENDING
recognitions,3,11,2,2023-07-31T18:30:00Z,Recognition from 2 to 11,30,REJECTED
recognitions,1,11,3,2023-08-01T18:30:00Z,Recognition from 3 to 11,0,APPROVED
recognitions,2,11,4,2023-08-02T18:30:00Z,Recognition from 4 to 11,5,PENDING
recognitions,3,11,5,2023-08-03T18:30:00Z,Recognition from 5 to 11,20,REJECTED
recognitions,1,11,6,2023-08-04T18:30:00Z,Recognition from 6 to 11,0,APPROVED
recognitions,2,11,7,2023-08-05T18:30:00Z,Recognition from 7 to 11,10,PENDING
recognitions,3,11,8,2023-08-06T18:30:00Z,Recognition from 8 to 11,20,REJECTED
recognitions,1,11,9,2023-08-07T18:30:00Z,Recognition from 9 to 11,0,APPROVED
recognitions,2,11,10,2023-08-08T18:30:00Z,Recognition from 10 to 11,5,PENDING
recognitions,3,11,12,2023-08-09T18:30:00Z,Recognition from 12 to 11,25,REJECTED
recognitions,1,11,13,2023-08-10T18:30:00Z,Recognition from 13 to 11,0,APPROVED
recognitions,2,11,14,2023-08-11T18:30:00Z,Recognition from 14 to 11,10,PENDING
recognitions,3,11,15,2023-08-12T18:30:00Z,Recognition from 15 to 11,30,REJECTED
recognitions,1,11,16,2023-08-13T18:30:00Z,Recognition from 16 to 11,0,APPROVED
recognitions,2,11,17,2023-08-14T18:30:00Z,Recognition from 17 to 11,5,PENDING
recognitions,3,11,18,2023-08-15T18:30:00Z,Recognition from 18 to 11,20,REJECTED
recognitions,1,11,19,2023-08-16T18:30:00Z,Recognition from 19 to 11,0,APPROVED
recognitions,2,11,20,2023-08-17T18:30:00Z,Recognition from 20 to 11,10,PENDING
recognitions,3,11,21,2023-08-18T18:30:00Z,Recognition from 21 to 11,20,REJECTED
recognitions,1,11,22,2023-08-19T18:30:00Z,Recognition from 22 to 11,0,APPROVED
recognitions,2,12,1,2023-08-20T18:30:00Z,Recognition from 1 to 12,5,PENDING
recognitions,3,12,2,2023-08-21T18:30:00Z,Recognition from 2 to 12,25,REJECTED
recognitions,1,12,3,2023-08-22T18:30:00Z,Recognition from 3 to 12,0,APPROVED
recognitions,2,12,4,2023-08-23T18:30:00Z,Recognition from 4 to 12,10,PENDING
recognitions,3,12,5,2023-08-24T18:30:00Z,Recognition from 5 to 12,30,REJECTED
recognitions,1,12,6,2023-08-25T18:30:00Z,Recognition from 6 to 12,0,APPROVED
recognitions,2,12,7,2023-08-26T18:30:00Z,Recognition from 7 to 12,5,PENDING
recognitions,3,12,8,2023-08-27T18:30:00Z,Recognition from 8 to 12,20,REJECTED
recognitions,1,12,9,2023-08-28T18:30:00Z,Recognition from 9 to 12,0,APPROVED
recognitions,2,12,10,2023-08-29T18:30:00Z,Recognition from 10 to 12,10,PENDING
recognitions,3,12,11,2023-08-30T18:30:00Z,Recognition from 11 to 12,20,REJECTED
recognitions,1,12,13,2023-08-31T18:30:00Z,Recognition from 13 to 12,0,APPROVED
recognitions,2,12,14,2023-09-01T18:30:00Z,Recognition from 14 to 12,5,PENDING
recognitions,3,12,15,2023-09-02T18:30:00Z,Recognition from 15 to 12,25,REJECTED
recognitions,1,12,16,2023-09-03T18:30:00Z,Recognition from 16 to 12,0,APPROVED
recognitions,2,12,17,2023-09-04T18:30:00Z,Recognition from 17 to 12,10,PENDING
recognitions,3,12,18,2023-09-05T18:30:00Z,Recognition from 18 to 12,30,REJECTED
recognitions,1,12,19,2023-09-06T18:30:00Z,Recognition from 19 to 12,0,APPROVED
recognitions,2,12,20,2023-09-07T18:30:00Z,Recognition from 20 to 12,5,PENDING
recognitions,3,12,21,2023-09-08T18:30:00Z,Recognition from 21 to 12,20,REJECTED
recognitions,1,12,22,2023-09-09T18:30:00Z,Recognition from 22 to 12,0,APPROVED
recognitions,2,13,1,2023-09-10T18:30:00Z,Recognition from 1 to 13,10,PENDING
recognitions,3,13,2,2023-09-11T18:30:00Z,Recognition from 2 to 13,20,REJECTED
recognitions,1,13,3,2023-09-12T18:30:00Z,Recognition from 3 to 13,0,APPROVED
recognitions,2,13,4,2023-09-13T18:30:00Z,Recognition from 4 to 13,5,PENDING
recognitions,3,13,5,2023-09-14T18:30:00Z,Recognition from 5 to 13,25,REJECTED
recognitions,1,13,6,2023-09-15T18:30:00Z,Recognition from 6 to 13,0,APPROVED
recognitions,2,13,7,2023-09-16T18:30:00Z,Recognition from 7 to 13,10,PENDING
recognitions,3,13,8,2023-09-17T18:30:00Z,Recognition from 8 to 13,30,REJECTED
recognitions,1,13,9,2023-09-18T18:30:00Z,Recognition from 9 to 13,0,APPROVED
recognitions,2,13,10,2023-09-19T18:30:00Z,Recognition from 10 to 13,5,PENDING
recognitions,3,13,11,2023-09-20T18:30:00Z,Recognition from 11 to 13,20,REJECTED
recognitions,1,13,12,2023-09-21T18:30:00Z,Recognition from 12 to 13,0,APPROVED
recognitions,2,13,14,2023-09-22T18:30:00Z,Recognition from 14 to 13,10,PENDING
recognitions,3,13,15,2023-09-23T18:30:00Z,Recognition from 15 to 13,20,REJECTED
recognitions,1,13,16,2023-09-24T18:30:00Z,Recognition from 16 to 13,0,APPROVED
recognitions,2,13,17,2023-09-25T18:30:00Z,Recognition from 17 to 13,5,PENDING
recognitions,3,13,18,2023-09-26T18:30:00Z,Recognition from 18 to 13,25,REJECTED
recognitions,1,13,19,2023-09-27T18:30:00Z,Recognition from 19 to 13,0,APPROVED
recognitions,2,13,20,2023-09-28T18:30:00Z,Recognition from 20 to 13,10,PENDING
recognitions,3,13,21,2023-09-29T18:30:00Z,Recognition from 21 to 13,30,REJECTED
recognitions,1,13,22,2023-09-30T18:30:00Z,Recognition from 22 to 13,0,APPROVED
recognitions,2,14,1,2023-10-01T18:30:00Z,Recognition from 1 to 14,5,PENDING
recognitions,3,14,2,2023-10-02T18:30:00Z,Recognition from 2 to 14,20,REJECTED
recognitions,1,14,3,2023-10-03T18:30:00Z,Recognition from 3 to 14,0,APPROVED
recognitions,2,14,4,2023-10-04T18:30:00Z,Recognition from 4 to 14,10,PENDING
recognitions,3,14,5,2023-10-05T18:30:00Z,Recognition from 5 to 14,20,REJECTED
recognitions,1,14,6,2023-10-06T18:30:00Z,Recognition from 6 to 14,0,APPROVED
recognitions,2,14,7,2023-10-07T18:30:00Z,Recognition from 7 to 14,5,PENDING
recognitions,3,14,8,2023-10-08T18:30:00Z,Recognition from 8 to 14,25,REJECTED
recognitions,1,14,9,2023-10-09T18:30:00Z,Recognition from 9 to 14,0,APPROVED
recognitions,2,14,10,2023-10-10T18:30:00Z,Recognition from 10 to 14,10,PENDING
recognitions,3,14,11,2023-10-11T18:30:00Z,Recognition from 11 to 14,30,REJECTED
recognitions,1,14,12,2023-10-12T18:30:00Z,Recognition from 12 to 14,0,APPROVED
recognitions,2,14,13,2023-10-13T18:30:00Z,Recognition from 13 to 14,5,PENDING
recognitions,3,14,15,2023-10-14T18:30:00Z,Recognition from 15 to 14,20,REJECTED
recognitions,1,14,16,2023-10-15T18:30:00Z,Recognition from 16 to 14,0,APPROVED
